"datetime","cica","tair","vpd","Fwsoil","year","month","doy","hour"
2008-01-01 06:00:00,0.91868931055069,291.439453125,9268.98874679204,1,2008,1,1,6
2008-01-01 07:00:00,0.88511848449707,292.177307128906,9372.25045105806,1,2008,1,1,7
2008-01-01 08:00:00,0.86941933631897,291.561584472656,9286.02143361542,1,2008,1,1,8
2008-01-01 09:00:00,0.862749576568604,290.841186523438,9185.89172798985,1,2008,1,1,9
2008-01-01 10:00:00,0.861534893512726,290.257873535156,9105.41228768466,1,2008,1,1,10
2008-01-01 11:00:00,0.845199823379517,291.147796630859,9228.40885236188,1,2008,1,1,11
2008-01-01 12:00:00,0.840773344039917,290.938415527344,9199.35872393929,1,2008,1,1,12
2008-01-01 13:00:00,0.843129754066467,290.841186523438,9185.89255978787,1,2008,1,1,13
2008-01-01 14:00:00,0.8430295586586,290.711547851562,9167.96059254635,1,2008,1,1,14
2008-01-01 15:00:00,0.844591975212097,290.676666259766,9163.1402810281,1,2008,1,1,15
2008-01-01 16:00:00,0.851880311965942,290.210510253906,9098.90243699304,1,2008,1,1,16
2008-01-01 17:00:00,0.86424708366394,289.552429199219,9008.79360927684,1,2008,1,1,17
2008-01-01 18:00:00,0.883230805397034,289.185974121094,8958.90813513459,1,2008,1,1,18
2008-01-01 19:00:00,0.904958844184875,288.410736083984,8854.06015748693,1,2008,1,1,19
2008-01-02 06:00:00,0.921373605728149,287.418609619141,8721.23096043678,1,2008,1,2,6
2008-01-02 07:00:00,0.885148406028748,288.163940429688,8820.87862405951,1,2008,1,2,7
2008-01-02 08:00:00,0.868563234806061,288.655029296875,8887.00204793438,1,2008,1,2,8
2008-01-02 09:00:00,0.847738862037659,289.348022460938,8980.94507936162,1,2008,1,2,9
2008-01-02 10:00:00,0.840954542160034,289.290679931641,8973.14348529927,1,2008,1,2,10
2008-01-02 11:00:00,0.835449159145355,289.390380859375,8986.71137104588,1,2008,1,2,11
2008-01-02 12:00:00,0.830013811588287,289.510040283203,9003.01571500736,1,2008,1,2,12
2008-01-02 13:00:00,0.826444149017334,289.649627685547,9022.06353786376,1,2008,1,2,13
2008-01-02 14:00:00,0.826729834079742,289.70947265625,9030.23914479944,1,2008,1,2,14
2008-01-02 15:00:00,0.836436450481415,289.407836914062,8989.08842762129,1,2008,1,2,15
2008-01-02 16:00:00,0.844835519790649,289.185974121094,8958.91096569881,1,2008,1,2,16
2008-01-02 17:00:00,0.855326294898987,288.876861572266,8916.99323393255,1,2008,1,2,17
2008-01-02 18:00:00,0.87288761138916,288.565277099609,8874.88967597139,1,2008,1,2,18
2008-01-02 19:00:00,0.892933011054993,287.712738037109,8760.45311304572,1,2008,1,2,19
2008-01-03 06:00:00,0.909621894359589,288.091644287109,8811.17455962931,1,2008,1,3,6
2008-01-03 07:00:00,0.889485120773315,288.921752929688,8923.06946330135,1,2008,1,3,7
2008-01-03 08:00:00,0.869645357131958,290.023559570312,9073.23544314297,1,2008,1,3,8
2008-01-03 09:00:00,0.857915878295898,291.182678222656,9233.25585704886,1,2008,1,3,9
2008-01-03 10:00:00,0.840120315551758,292.473937988281,9414.0071452591,1,2008,1,3,10
2008-01-03 11:00:00,0.823808372020721,293.750244140625,9595.26403099143,1,2008,1,3,11
2008-01-03 12:00:00,0.811479687690735,294.969207763672,9770.81005583161,1,2008,1,3,12
2008-01-03 13:00:00,0.80538934469223,295.617340087891,9865.12413752033,1,2008,1,3,13
2008-01-03 14:00:00,0.807371854782104,295.749450683594,9884.43102319566,1,2008,1,3,14
2008-01-03 15:00:00,0.815260291099548,295.642272949219,9868.76418587468,1,2008,1,3,15
2008-01-03 16:00:00,0.819572687149048,296.2978515625,9964.88081731618,1,2008,1,3,16
2008-01-03 17:00:00,0.831244766712189,295.465270996094,9842.9340022555,1,2008,1,3,17
2008-01-03 18:00:00,0.844646573066711,294.368469238281,9683.99808554641,1,2008,1,3,18
2008-01-03 19:00:00,0.865277528762817,292.336853027344,9394.69419059634,1,2008,1,3,19
2008-01-04 06:00:00,0.929212987422943,289.841583251953,9048.30320658172,1,2008,1,4,6
2008-01-04 07:00:00,0.880039870738983,292.69580078125,9445.3292983114,1,2008,1,4,7
2008-01-04 08:00:00,0.846314430236816,296.033630371094,9926.0580194926,1,2008,1,4,8
2008-01-04 09:00:00,0.818389594554901,298.977600097656,10365.0719455255,1,2008,1,4,9
2008-01-04 10:00:00,0.790709137916565,302.113525390625,10848.5145300481,1,2008,1,4,10
2008-01-04 11:00:00,0.763393223285675,304.085296630859,11160.9846731743,1,2008,1,4,11
2008-01-04 12:00:00,0.745885848999023,305.209533691406,11342.1193717801,1,2008,1,4,12
2008-01-04 13:00:00,0.730486035346985,306.032165527344,11476.0415941489,1,2008,1,4,13
2008-01-04 14:00:00,0.730597615242004,306.757537841797,11595.1038669441,1,2008,1,4,14
